id,visit_date,visit_datetime,reserve_datetime,reserve_visitors,SEMANA,A�O,day_of_week,holiday_flg,genre_name,area_name
db80363d35f10926,01/01/2016,01/01/2016 00:00,01/01/2016 01:00,5,1,2016,Friday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 01:00,01/01/2016 16:00,2,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 01:00,01/01/2016 15:00,4,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 18:00,02/01/2016 14:00,2,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 18:00,02/01/2016 02:00,3,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 19:00,02/01/2016 02:00,6,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 19:00,02/01/2016 18:00,2,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 21:00,02/01/2016 18:00,4,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 21:00,02/01/2016 18:00,8,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,02/01/2016,02/01/2016 21:00,02/01/2016 16:00,3,1,2016,Saturday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,03/01/2016,03/01/2016 18:00,02/01/2016 22:00,5,2,2016,Sunday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,03/01/2016,03/01/2016 18:00,02/01/2016 20:00,6,2,2016,Sunday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,03/01/2016,03/01/2016 22:00,02/01/2016 22:00,6,2,2016,Sunday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
24b9b2a020826ede,04/01/2016,04/01/2016 17:00,04/01/2016 14:00,7,2,2016,Monday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
3cad29d1a23209d2,06/01/2016,06/01/2016 18:00,06/01/2016 13:00,4,2,2016,Wednesday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
3cad29d1a23209d2,06/01/2016,06/01/2016 18:00,04/01/2016 14:00,2,2,2016,Wednesday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
3cad29d1a23209d2,06/01/2016,06/01/2016 18:00,05/01/2016 11:00,4,2,2016,Wednesday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
632ba66e1f75aa28,06/01/2016,06/01/2016 19:00,06/01/2016 15:00,2,2,2016,Wednesday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
632ba66e1f75aa28,06/01/2016,06/01/2016 19:00,06/01/2016 15:00,2,2,2016,Wednesday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
db80363d35f10926,06/01/2016,06/01/2016 20:00,05/01/2016 18:00,2,2,2016,Wednesday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,06/01/2016,06/01/2016 20:00,04/01/2016 22:00,3,2,2016,Wednesday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
24b9b2a020826ede,07/01/2016,07/01/2016 17:00,06/01/2016 22:00,5,2,2016,Thursday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,07/01/2016,07/01/2016 17:00,06/01/2016 18:00,2,2,2016,Thursday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,08/01/2016,08/01/2016 16:00,04/01/2016 19:00,10,2,2016,Friday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
db80363d35f10926,08/01/2016,08/01/2016 19:00,07/01/2016 22:00,6,2,2016,Friday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
db80363d35f10926,08/01/2016,08/01/2016 19:00,07/01/2016 20:00,14,2,2016,Friday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
632ba66e1f75aa28,08/01/2016,08/01/2016 20:00,08/01/2016 18:00,2,2,2016,Friday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
632ba66e1f75aa28,08/01/2016,08/01/2016 20:00,07/01/2016 18:00,2,2,2016,Friday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
632ba66e1f75aa28,08/01/2016,08/01/2016 20:00,08/01/2016 17:00,2,2,2016,Friday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
3cad29d1a23209d2,08/01/2016,08/01/2016 21:00,06/01/2016 16:00,2,2,2016,Friday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
db80363d35f10926,08/01/2016,08/01/2016 21:00,04/01/2016 19:00,3,2,2016,Friday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
632ba66e1f75aa28,08/01/2016,08/01/2016 22:00,07/01/2016 21:00,2,2,2016,Friday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
db80363d35f10926,09/01/2016,09/01/2016 01:00,08/01/2016 14:00,5,2,2016,Saturday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
f068442ebb6c246c,09/01/2016,09/01/2016 08:00,06/01/2016 17:00,2,2,2016,Saturday,0,Izakaya,Tōkyō-to Taitō-ku Higashiueno
f068442ebb6c246c,09/01/2016,09/01/2016 08:00,06/01/2016 18:00,5,2,2016,Saturday,0,Izakaya,Tōkyō-to Taitō-ku Higashiueno
3cad29d1a23209d2,09/01/2016,09/01/2016 20:00,06/01/2016 20:00,3,2,2016,Saturday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
3cad29d1a23209d2,09/01/2016,09/01/2016 20:00,05/01/2016 11:00,2,2,2016,Saturday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
3cad29d1a23209d2,09/01/2016,09/01/2016 20:00,09/01/2016 18:00,2,2,2016,Saturday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
db80363d35f10926,09/01/2016,09/01/2016 22:00,09/01/2016 11:00,13,2,2016,Saturday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
24b9b2a020826ede,10/01/2016,10/01/2016 17:00,04/01/2016 15:00,3,3,2016,Sunday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
3cad29d1a23209d2,10/01/2016,10/01/2016 20:00,04/01/2016 14:00,2,3,2016,Sunday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
db80363d35f10926,10/01/2016,10/01/2016 22:00,03/01/2016 19:00,37,3,2016,Sunday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
632ba66e1f75aa28,11/01/2016,11/01/2016 18:00,11/01/2016 17:00,2,3,2016,Monday,1,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
db80363d35f10926,11/01/2016,11/01/2016 18:00,11/01/2016 14:00,2,3,2016,Monday,1,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
3cad29d1a23209d2,11/01/2016,11/01/2016 20:00,10/01/2016 09:00,2,3,2016,Monday,1,Japanese food,Tōkyō-to Shibuya-ku Shibuya
3cad29d1a23209d2,11/01/2016,11/01/2016 20:00,11/01/2016 00:00,2,3,2016,Monday,1,Japanese food,Tōkyō-to Shibuya-ku Shibuya
24b9b2a020826ede,12/01/2016,12/01/2016 17:00,05/01/2016 17:00,2,3,2016,Tuesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,12/01/2016,12/01/2016 17:00,04/01/2016 01:00,3,3,2016,Tuesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
db80363d35f10926,12/01/2016,12/01/2016 19:00,04/01/2016 10:00,3,3,2016,Tuesday,0,Dining bar,Hokkaidō Asahikawa-shi 6 Jōdōri
24b9b2a020826ede,13/01/2016,13/01/2016 17:00,12/01/2016 19:00,2,3,2016,Wednesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,13/01/2016,13/01/2016 17:00,06/01/2016 19:00,2,3,2016,Wednesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,13/01/2016,13/01/2016 17:00,08/01/2016 21:00,5,3,2016,Wednesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,13/01/2016,13/01/2016 17:00,12/01/2016 19:00,4,3,2016,Wednesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,13/01/2016,13/01/2016 17:00,09/01/2016 14:00,2,3,2016,Wednesday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
24b9b2a020826ede,14/01/2016,14/01/2016 17:00,10/01/2016 14:00,3,3,2016,Thursday,0,Japanese food,Fukuoka-ken Kitakyūshū-shi Ōtemachi
3cad29d1a23209d2,14/01/2016,14/01/2016 21:00,14/01/2016 11:00,4,3,2016,Thursday,0,Japanese food,Tōkyō-to Shibuya-ku Shibuya
632ba66e1f75aa28,14/01/2016,14/01/2016 21:00,14/01/2016 17:00,2,3,2016,Thursday,0,Italian/French,Tōkyō-to Suginami-ku Asagayaminami
